indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
clorophyll concentration,IPCC_2_75_119,IPCC,0,ecosystems,NA,State of ecosystems (marine),NA
cms connectivity indicator,GBF_GA_CY_49,GBF,1,biodiversity,NA,State of biodiversity,NA
"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,1,Governance,NA,Nature-based legislation,NA
co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,NA,Climate change,NA
co2 emissions,IPBES_GA_3_123_420,IPBES,0,Direct drivers,NA,Climate change,NA
coastal carbon-rich habitat,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_4,IPBES,0,ecosystems,NA,State of ecosystems,NA
coastal protection habitats,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_5,IPBES,0,ecosystems,NA,Area conservation,NA
cold season temperatures,IPCC_12_19_604,IPCC,0,ecosystems,NA,Abiotic conditions,NA
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,0,Direct drivers,ecosystems,Climate change,Abiotic conditions
combined extreme index (cei),IPCC_11_40_527,IPCC,0,ecosystems,NA,Abiotic conditions,NA
combined sea level due to storm surge and tide,IPCC_12_45_645,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
commercial trade in wild-collected specimens,IPBES_SUA_4_71_127,IPBES,0,Ecosystem services,NA,Nature contribution,NA
commodity index,IPBES_GA_6_137_288,IPBES,0,Human assets,NA,State of economy,NA
community awareness,GEO_17_8_200,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
companies with policies for biodiversity-friendly practices,IPBES_VA_4_28_109,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IPBES_IAS_2_14_17,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
complete phase-out of biomass use for cooking,GEO_22_21_257,GEO,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,1,Human assets,Human well-being,Coverage of basic needs,Equity
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,1,biodiversity,Human assets,Species conservation,Information on biodiversity
concentration of hydrogen ions (h+),IPBES_IAS_4_8_100,IPBES,0,ecosystems,NA,Abiotic conditions,NA
condition and size of wild animals,IPBES_GA_2.2_65_113,IPBES,0,biodiversity,NA,State of biodiversity,NA
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance
connection to land,IPBES_GA_2.3_36_133,IPBES,0,Knowledge systems,NA,ILK,NA
connection to sea,IPBES_GA_2.3_36_133,IPBES,0,Knowledge systems,NA,ILK,NA
connectivity indicator,GBF_T3_C_22,GBF,1,ecosystems,NA,State of ecosystems (configuration),NA
consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,IPCC,0,ecosystems,NA,Abiotic conditions,NA
conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,1,biodiversity,NA,Species conservation,NA
container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
continuous global mangrove forest area,GBF_GA_CY_8,GBF,1,ecosystems,NA,State of ecosystems (configuration),NA
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,IPCC,0,ecosystems,NA,Abiotic conditions,NA
convective available potential energy and wind shear,IPCC_12_66_684,IPCC,0,ecosystems,NA,Abiotic conditions,NA
convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,0,Governance,NA,National/international cooperation,NA
convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,0,Governance,NA,National/international cooperation,NA
convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,0,Governance,NA,National/international cooperation,NA
cooling degree day index,IPCC_12_54_662,IPCC,0,ecosystems,NA,Abiotic conditions,NA
cooling degree days,IPCC_12_46_648;IPCC_sup_42,IPCC,0,ecosystems,NA,Abiotic conditions,NA
coral bleaching,GEO_7_7_63,GEO,0,ecosystems,Direct drivers,Change in ecosystems,Climate change
correlation between high cultural diversity and areas of high biodiversity,IPBES_GA_2.3_71_160,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
corruption perception index,IPBES_VA_3_27_60,IPBES,0,Governance,NA,Broken governance,NA
costs associated with maintaining ncps of past or future projects,IPBES_VA_3_76_86,IPBES,0,Governance,NA,Nature-based funding,NA
costs associated with protecting nature and biodiversity,IPBES_VA_3_76_86,IPBES,0,Governance,NA,Nature-based funding,NA
cover of key benthic groups,GBF_GA_CY_18,GBF,1,biodiversity,NA,State of biodiversity,NA
coverage by protected areas of important sites for mountain biodiversity,IPBES_GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA
coverage of essential health services,SDG_G3.8.1_44,SDG,1,Human well-being,NA,Wellness,NA
coverage of fisheries with management measures to reduce bycatch and discards,IPBES_GA_1_52_19,IPBES,0,biodiversity,Ecosystem services,Species conservation,Specific mention of sustainable use of species/ecosystems
coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,1,ecosystems,Governance,Area conservation,Nature-based legislation
coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,1,ecosystems,NA,Area conservation,NA
coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_139,GBF,1,ecosystems,NA,Area conservation,NA
coverage of protected areas in relation to marine areas,GEO_14_14_147,GEO,0,ecosystems,NA,Area conservation,NA
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,1,Human well-being,NA,Wellness,NA
coverage of wetland dependent bird populations by designated ramsar sites,RAMSAR_SG2.5_18,RAMSAR,1,ecosystems,NA,Area conservation,NA
coverage of wetland dependent non-avian populations by designated ramsar sites,RAMSAR_SG2.5_19,RAMSAR,1,ecosystems,NA,Area conservation,NA
"credit to agriculture, forestry and fishing",IPBES_GA2.1_sup_66,IPBES,0,Governance,NA,Nature detrimental legislation,NA
crops and their dietary roles,IPBES_GA_2.3_22_127,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,GEO,0,Human well-being,NA,Equity,NA
cultivated area,IPBES_GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA
cultural continuity,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,NA,ILK,NA
cultural vitality index,GBF_GB_CY_86,GBF,1,Human well-being,NA,Cultural diversity,NA
culturally salient species,IPBES_GA_2.2_5_55;IPBES_GA_2.2_65_113,IPBES,0,Knowledge systems,NA,ILK,NA
cumulative ghg emissions,IPCC_1_58_23,IPCC,0,Direct drivers,NA,Climate change,NA
cumulative human impacts on marine ecosystems,IPBES_GA_4_155_228,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
cumulative introduced invasive aliens,IPBES_GA_2.2_37_70;IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_49;IPBES_GA2.2_sup_50,IPBES,0,Direct drivers,NA,Invasive alien species,NA
cumulative storm energy and storm power index,IPCC_12_20_606,IPCC,0,Ecosystem services,ecosystems,Nature contribution,Abiotic conditions
current distribution of species,IPBES_IAS_2_155_79,IPBES,0,biodiversity,NA,State of biodiversity,NA
cyclical patterns of abundance,IPBES_SUA_2_96_79,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
"daily exposure natural terrestrial, coastal and marine areas",IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
daily maximum tempreature above 35°c,IPCC_12_11_589,IPCC,0,ecosystems,NA,Abiotic conditions,NA
daily precipitation,IPCC_11_25_512,IPCC,0,ecosystems,NA,Abiotic conditions,NA
daily temperature,IPCC_11_25_512;IPCC_11_37_520,IPCC,0,ecosystems,NA,Abiotic conditions,NA
daily temperature range: monthly mean difference between tx and tn,IPCC_sup_15,IPCC,0,Direct drivers,NA,Climate change,NA
damage to critical infrastructure,SDG_G11.5.3.a_150,SDG,1,Human assets,Knowledge systems,Infrastructure (build-up area),Information on society and socio-economics
days of heavy precipitation,IPCC_11_53_541,IPCC,0,ecosystems,NA,Abiotic conditions,NA
death rate due to road traffic injuries,SDG_G3.6.1_41,SDG,1,Human assets,NA,Coverage of basic needs,NA
deaths due to unsafe water,GEO_20_7_232,GEO,0,Direct drivers,Human well-being,Pollution,Healthy living conditions
deaths from air pollution,IPBES_GA2.1_sup_40,IPBES,0,Human well-being,NA,Healthy living conditions,NA
debt service as a proportion of exports of goods and services,SDG_G17.4.1_241,SDG,1,Human assets,NA,State of economy,NA
deforestation,GEO_6_8_49,GEO,0,ecosystems,NA,Change in ecosystems,NA
deforestation rate,GEO_6_26_61;GEO_15_19_169,GEO,0,Direct drivers,ecosystems,Land conversion,Change in ecosystems
degree heating months,IPCC_12_70_691,IPCC,0,ecosystems,NA,Abiotic conditions,NA
degree heating weeks,IPCC_12_70_691,IPCC,0,ecosystems,NA,Abiotic conditions,NA
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_G14.b.1_192;IPBES_SUA_sup_14.b.1_119,SDG;IPBES,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T5_CY_159;GBF_T9_CY_188;SDG_G14.6.1_189;IPBES_SUA_sup_14.6.1_116,GBF;SDG;IPBES,1,Governance,Governance,Nature-based legislation,National/international cooperation
degree of integrated water resources management,SDG_G6.5.1_89;IPBES_SUA_sup_6.5.1_34,SDG;IPBES,1,Governance,NA,Nature-based legislation,NA
degree of sustainable public procurement policies and action plan implementation,IPBES_SUA_sup_12.7.1_97,IPBES,0,Governance,NA,Nature-based legislation,NA
demand for greener products and services,IPBES_GA_3_26_355,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
democracy,GEO_22_21_257,GEO,0,Knowledge systems,Governance,Information on society and socio-economics,Legislation/governance
dendritic connectivity index,GBF_GA_CY_34,GBF,1,ecosystems,NA,State of ecosystems,NA
density of preferred and palatable species,IPBES_GA_2.3_40_140,IPBES,0,biodiversity,NA,State of biodiversity,NA
developing countries’ and least developed countries’ share of global exports,SDG_G17.11.1_248;IPBES_SUA_sup_17.11.1_148,SDG;IPBES,1,Human assets,NA,State of economy,NA
development of crop varieties or landraces,IPBES_GA_2.3_22_127,IPBES,0,Knowledge systems,NA,ILK,NA
dietary health and sustainability,GEO_17_11_203;GEO_17_12_205,GEO,0,Human well-being,Ecosystem services,Healthy living conditions,Specific mention of sustainable use of species/ecosystems
direct co2 air measurements,IPCC_1_13_4,IPCC,0,ecosystems,NA,State of ecosystems,NA
direct economic loss attributed to disasters in relation to global gross domestic product,SDG_G1.5.2_8;SDG_G11.5.2_149;IPBES_SUA_sup_1.5.2_7,SDG;IPBES,1,Human assets,NA,State of economy,NA
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",IPBES_SUA_sup_11.5.2_82,IPBES,0,Human assets,NA,State of economy,NA
disability-adjusted life years (dalys) lost,GEO_5_19_45,GEO,0,Human well-being,NA,Healthy living conditions,NA
discontinued traditional land-management practices,IPBES_GA_2.2_6_56,IPBES,0,Knowledge systems,ecosystems,ILK,Area conservation
distance travelled to harvest resources,IPBES_GA_2.2_5_55;IPBES_GA_2.2_65_113;IPBES_GA_2.3_40_140,IPBES,0,Knowledge systems,NA,ILK,NA
distribution of marine biota,IPCC_2_26_47,IPCC,0,biodiversity,NA,State of biodiversity,NA
distribution of species,IPCC_2_75_120,IPCC,0,biodiversity,NA,State of biodiversity,NA
distribution of terrestrial biota,IPCC_2_26_47,IPCC,0,biodiversity,NA,State of biodiversity,NA
diversity of competent hosts of vector-borne diseases,IPBES_GA_2.3_42_143,IPBES,0,biodiversity,Direct drivers,Genetic diversity,(Infectious) diseases
diversity of life from which to learn,IPBES_GA_2.3_42_143,IPBES,0,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_T19_CY_241;SDG_G17.19.1_258;IPBES_SUA_sup_17.19.1_157,GBF;SDG;IPBES,1,Governance,NA,National/international cooperation,NA
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",GBF_T19_CY_240,GBF,1,Governance,NA,National/international cooperation,NA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",SDG_G17.9.1_246;IPBES_SUA_sup_17.9.1_146,SDG;IPBES,1,Governance,NA,National/international cooperation,NA
domestic material consumption,IPBES_GA_2_24_29;GEO_17_20_213;IPBES_GA2.1_sup_7,IPBES;GEO,0,Human assets,NA,State of economy,NA
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",SDG_G8.4.2_104;SDG_G12.2.2_162;IPBES_SUA_sup_8.4.2_48;IPBES_SUA_sup_12.2.2_90,SDG;IPBES,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_11;GBF_T19_H_46,GBF,1,Governance,NA,Nature-based funding,NA
"drinking water supply, treatment and distribution",GEO_9_18_80,GEO,0,Human well-being,NA,Healthy living conditions,NA
drought frequency (df),IPCC_12_43_641,IPCC,0,ecosystems,NA,Abiotic conditions,NA
drought index (di),IPCC_12_43_640,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
drought severity index,IPCC_12_57_666,IPCC,0,ecosystems,NA,Abiotic conditions,NA
drought-resistant vegetation,GEO_17_8_200,GEO,0,ecosystems,NA,State of ecosystems,NA
droughts,IPBES_GA_2.2_6_56,IPBES,0,Direct drivers,NA,Natural drivers,NA
early nimbus satellite visible and infrared imagery,IPCC_2_58_91,IPCC,0,ecosystems,NA,State of ecosystems,NA
ecolabel index,IPBES_SUA_2_93_72,IPBES,0,Ecosystem services,NA,Nature contribution,NA
ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;IPBES_GA_1_52_19;IPBES_GA_5_73_254;IPBES_GA_3_15_329;IPBES_GA_3_26_355;IPBES_VA_2_38_29;GEO_13_14_129;GEO_13_19_142;IPBES_GA3_sup_10,GBF;IPBES;GEO,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
economic damages due to river floods,IPCC_1_62_25,IPCC,0,Human assets,Direct drivers,Infrastructure (build-up area),Natural drivers
economic growth,GEO_3_5_16,GEO,0,Human assets,NA,State of economy,NA
economic inequality,IPCC_1_62_25,IPCC,0,Human well-being,NA,Equity,NA
economic value of bio-inspired production,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
ecosystem intactness index,GBF_GA_C_1;GBF_GA_CY_29,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA
ecosystem integrity index,GBF_GA_C_2;GBF_T1_CY_114,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA
effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,RAMSAR,1,Governance,biodiversity,Nature-based legislation,Species conservation
eflow index,GBF_GB_CY_68,GBF,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
el niño-southern oscillation (enso) index,IPCC_2_76_122;IPCC_4_8_220;IPCC_4_27_234;IPCC_5_36_278,IPCC,0,ecosystems,NA,Abiotic conditions,NA
el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241,IPCC,0,ecosystems,NA,Abiotic conditions,NA
electric power consumption (kwh per capita),IPBES_GA2.1_sup_14,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
emission of particular compounds,IPCC_7_90_359,IPCC,0,Direct drivers,NA,Climate change,NA
emissions of ozone-depleting substances,GEO_12_15_115;GEO_12_17_120,GEO,0,Direct drivers,NA,Pollution,NA
employment in materials production,IPBES_GA_2.3_42_143,IPBES,0,Human assets,Ecosystem services,Income,Nature contribution
encounter rates with supernatural forest dwelling entities,IPBES_GA_2.3_41_142,IPBES,0,Knowledge systems,NA,ILK,NA
endemic species richness,IPBES_VA_2_10_12,IPBES,0,biodiversity,NA,State of biodiversity,NA
endemism richness,IPBES_GA_2.2_21_61,IPBES,0,biodiversity,NA,State of biodiversity,NA
energy consumption,GEO_17_14_210,GEO,0,Ecosystem services,NA,Nature contribution,NA
energy content of bioenergy crops,IPBES_GA_2.3_42_143,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA
energy production,GEO_17_14_210,GEO,0,Ecosystem services,NA,Nature contribution,NA
energy security from bio-energy and fuelwood,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
"energy supply derived from cereals, roots and tubers",IPBES_GA2.1_sup_18,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
energy use (kg of oil equivalent per capita),IPBES_GA2.1_sup_10,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
