indicator_orig,indic_id,indicator_harmonized
plastic debris density,SDG_G14.1.1.b_184,plastic debris density
Number of countries using ecosystem-based approaches to managing marine areas,SDG_G14.2.1_185,number of countries using ecosystem-based approaches to managing marine areas
Average marine acidity (pH) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186,average marine acidity (ph) measured at agreed suite of representative sampling stations
Proportion of fish stocks within biologically sustainable levels,SDG_G14.4.1_187,proportion of fish stocks within biologically sustainable levels
Coverage of protected areas in relation to marine areas,SDG_G14.5.1_188,protected area coverage of marine and coastal areas
"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",SDG_G14.6.1_189,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",SDG_G14.7.1_190,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries"
Proportion of total research budget allocated to research in the field of marine technology,SDG_G14.a.1_191,proportion of total research budget allocated to research in the field of marine technology
Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_G14.b.1_192,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries
"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",SDG_G14.c.1_193,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources"
Forest area as a proportion of total land area,SDG_G15.1.1_194,forest area as a percentage of total land area
"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SDG_G15.1.2_195,protected area coverage of important sites for terrestrial and freshwater biodiversity
Progress towards sustainable forest management,SDG_G15.2.1_196,progress towards sustainable forest management
Proportion of land that is degraded over total land area,SDG_G15.3.1_197,proportion of land that is degraded over total land area
Coverage by protected areas of important sites for mountain biodiversity,SDG_G15.4.1_198,protected area coverage of important sites for mountain biodiversity
Mountain Green Cover Index,SDG_G15.4.2.a_199,mountain green cover index
proportion of degraded mountain land,SDG_G15.4.2.b_200,proportion of degraded mountain land
Red List Index,SDG_G15.5.1_201,red list index
"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",SDG_G15.6.1_202,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
