odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",IPBES_GA2.3_sup_62,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,biotic productivity,GA_2.3_56_155,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,biotime species richness indicator,GA_2.2_45_85,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biotime-local species richness,GA_1_52_19,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_48,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,blocking index,IPCC_8_47_395,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,blood pressure,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,blue water sustainability index,GA_3_76_401,IPBES,0,ecosystems,Area conservation,Ecosystem services,Nature contribution,IPBES
,body condition,SUA_2_97_80;SUA_4_89_132,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,body fat,SUA_4_78_130,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,body mass index,GEO_21_17_251,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,boron-isotope,IPCC_2_14_37,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,buffer zones to protect catchment areas,GEO_17_8_200,GEO,0,ecosystems,Area conservation,NA,NA,GEO
,build up area,GEO_8_14_67;GEO_8_14_67,GEO,0,Human assets,Infrastructure (build-up area),NA,NA,GEO
,business operations,GEO_17_20_212,GEO,0,Governance,Legislation/governance,NA,NA,GEO
,by catch of vulnerable and non-target species,GBF_T5_CY_157,GBF,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,GBF
,c pool,GA_4_34_176,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,c-haines index,IPCC_12_43_643,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,caloric intake,GA_2_22_28;GA_2_24_29,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,capacity of ecosystem to filter (or add) constituent components (extent of vegetation),IPBES_GA2.3_sup_71,IPBES,0,ecosystems,State of ecosystems (coverage),Ecosystem services,Nature contribution,IPBES
,carbon sequestration,GA_2.3_56_155;IPBES_GA2.3_sup_45,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_184,GBF,1,Direct drivers,Climate change,NA,NA,GBF
,carbon stocks in ecosystems,IPBES_GA2.3_sup_13,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,carbon uptake by land and ocean,IPCC_4_8_220,IPCC,0,Ecosystem services,Nature contribution,ecosystems,State of ecosystems,IPCC
,"care, mental health, cultural security, life-satisfaction",NA,NA,NA,Human well-being,Healthy living conditions,Human well-being,Wellness,IPBES
,catch per unit effort,SUA_2_96_79;SUA_2_97_80,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,catch per unit per effort,SUA_6_115_207,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,certified forest area,IPBES_GA2.1_sup_60,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,IPBES
,change in # days hi>41°c,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in # days tx>35°c,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in # droughts,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in # soil moisture,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in extent of wetlands and inland water bodies,IPBES_GA2.3_sup_61,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,change in extreme total water level,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in mean fish size,IPBES_GA2.3_sup_160,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,change in mean wind,IPCC_12_24_613,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,change in terrestrial biomass,IPBES_GA2.3_sup_60,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,1,ecosystems,State of ecosystems,NA,Change in ecosystems,GBF
,change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,State of ecosystems,NA,Change in ecosystems,IPBES;GBF;SDG
,change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,Change in ecosystems,GBF
,change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,1,ecosystems,State of ecosystems,NA,Change in ecosystems,GBF
,change in water-use efficiency over time,GBF_T14_CY_211;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA,IPBES;GBF;SDG
,changes in evapotranspiration demand,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,changes in groundwater,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,changes in land versus world trade organisation greenbox agricultural subsidies,IPCC_2_31_65,IPCC,0,Governance,Nature-based funding,NA,NA,IPCC
,changes in low flows,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,changes in mean precipitation,IPCC_4_49_249,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,changes in mean streamflow,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,changes in observed cloud cover,IPCC_2_51_79,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,changes in phytoplankton phenology,IPCC_2_76_122,IPCC,0,biodiversity,Change in biodiversity,NA,NA,IPCC
,changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,1,biodiversity,Change in biodiversity,NA,NA,GBF
,changes in precipitation,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,changes in precipitation frequency and intensity,IPCC_8_27_367,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
air?,changes in soil moisture,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,changes in surface water,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,GEO,0,biodiversity,Change in biodiversity,NA,NA,GEO
,"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,changes in threat status of wetland taxa,NA,NA,NA,biodiversity,Change in biodiversity,NA,NA,RAMSAR
,changing range of wild species,GA_2.2_6_56,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_147,GBF,1,biodiversity,State of biodiversity,NA,Change in biodiversity,GBF
,chemical contaminants,GEO_23_24_263,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,child mortality,GA_2_22_28;GEO_22_21_257,IPBES;GEO,0,Human well-being,Healthy living conditions,NA,NA,IPBES;GEO
,child mortality rate,IPBES_GA2.1_sup_22,IPBES,0,Human well-being,Healthy living conditions,Human assets,Information on society and socio-economics,IPBES
,childhood undernutrition,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,circulation,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,,,
,circulation index,IPCC_4_8_221,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,cites parties that have implemented relevant resolutions and decisions,SUA_4_68_125,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,city biodiversity index,GA_3_115_417;GEO_13_14_128,IPBES;GEO,0,biodiversity,State of biodiversity,NA,NA,IPBES;GEO
,climate related loss events,GEO_2_28_8,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,climate risk index,VA_6_64_156,IPBES,0,Direct drivers,Natural drivers,NA,NA,IPBES
,climate velocity,IPCC_12_14_593,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,climatic impact index,GBF_GB_CY_64;GA_3_35_362,GBF;IPBES,1,Direct drivers,Climate change,NA,NA,IPBES;GBF
,climatic impact index for birds,GA_3_72_395;IPBES_GA3_sup_39,IPBES,0,Direct drivers,Climate change,biodiversity,Change in biodiversity,IPBES
,climatic impact-driver (cid) duration,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,climatic impact-driver (cid) frequency,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,climatic impact-driver (cid) magnitude,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,climatic impact-driver (cid) spatial extent,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,climatic impact-driver (cid) timing,IPCC_12_22_609,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,clorophyll concentration,IPCC_2_75_119,IPCC,0,ecosystems,State of ecosystems (marine),NA,NA,IPCC
,cms connectivity indicator,GBF_GA_CY_49,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
no indic,"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,1,Governance,Nature-based legislation,,,
,co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,GEO;IPCC
,co2 emission per unit of value added,GBF_T14_CY_210;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,Climate change,NA,NA,IPBES;GBF;SDG
,co2 emissions,GA_3_123_420,IPBES,0,Direct drivers,Climate change,NA,NA,IPBES
,co2 removal from atmosphere,IPBES_GA2.3_sup_41,IPBES,0,Ecosystem services,Nature contribution,Direct drivers,Climate change,IPBES
,coastal carbon-rich habitat,GA_2.2_37_70;IPBES_GA2.2_sup_4,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,coastal forest distribution and extent,IPBES_GA2.3_sup_85,IPBES,0,ecosystems,State of ecosystems,NA,State of ecosystems (coverage),IPBES
,coastal protection,IPBES_GA2.3_sup_102,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,coastal protection habitats,GA_2.2_37_70;IPBES_GA2.2_sup_5,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,cold season temperatures,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,0,Direct drivers,Climate change,ecosystems,Abiotic conditions,IPCC
,combined extreme index (cei),IPCC_11_40_527,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,combined sea level due to storm surge and tide,IPCC_12_45_645,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,commercial trade in wild-collected specimens,SUA_4_71_127,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,commodity index,GA_6_137_288,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,community awareness,GEO_17_8_200,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,community-weighted mean trait value (cwm),IPBES_GA2.3_sup_268;IPBES_GA2.3_sup_292,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,companies with policies for biodiversity-friendly practices,VA_4_28_109,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IAS_2_14_17,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,complete phase-out of biomass use for cooking,GEO_22_21_257,GEO,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,GEO
,"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,1,Human assets,Coverage of basic needs,Human well-being,Equity,SDG
,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,1,biodiversity,Species conservation,Human assets,Information on biodiversity,GBF
,concentration of air pollutants in the air,IPBES_GA2.3_sup_19,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,concentration of constituents (pollutants) in the water,IPBES_GA2.3_sup_72,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,concentration of greenhouse gases in the atmosphere,IPBES_GA2.3_sup_46,IPBES,0,Direct drivers,Climate change,NA,NA,IPBES
,concentration of hydrogen ions (h+),IAS_4_8_100,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,condition and size of wild animals,GA_2.2_65_113,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,condition index,IAS_4_64_104,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,1,Human assets,Information on society and socio-economics,Governance,Broken governance,SDG
,connection to land,GA_2.3_36_133,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA,IPBES
,connection to sea,GA_2.3_36_133,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA,IPBES
x,connectivity indicator,NA,NA,NA,ecosystems,State of ecosystems (configuration),NA,NA,GBF
,connectivity indicator,GBF_T3_C_22,GBF,1,ecosystems,State of ecosystems (configuration),,,
,consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,1,ecosystems,Species conservation,NA,NA,GBF
,container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,continuous global mangrove forest area,GBF_GA_CY_8,GBF,1,ecosystems,State of ecosystems (configuration),NA,NA,GBF
,contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,convective available potential energy and wind shear,IPCC_12_66_684,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,0,Governance,National/international cooperation,NA,NA,IPBES
,convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,0,Governance,National/international cooperation,NA,NA,IPBES
,convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,0,Governance,National/international cooperation,NA,NA,IPBES
,cooling degree day index,IPCC_12_54_662,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,cooling degree days,IPCC_12_46_648;IPCC_sup_42,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
x,cooling degree days above 22°c,,IPCC,0,ecosystems,Abiotic conditions,,,
,coral bleaching,GEO_7_7_63,GEO,0,ecosystems,Change in ecosystems,Direct drivers,Climate change,GEO
,coral reefs distribution and extent,IPBES_GA2.3_sup_82,IPBES,0,biodiversity,State of biodiversity,NA,State of ecosystems (marine),IPBES
,coral solid units (number/year),IPBES_GA2.3_sup_203,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,cork (kg),IPBES_GA2.3_sup_195,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,corruption perception index,VA_3_27_60,IPBES,0,Governance,Broken governance,NA,NA,IPBES
,cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,IPBES_GA2.3_sup_25,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,cost reduction with healthcare resulted from ecosystem contributions to air quality,IPBES_GA2.3_sup_24,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,costs associated with maintaining ncps of past or future projects,VA_3_76_86,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,costs associated with protecting nature and biodiversity,VA_3_76_86,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,cotton (t/ha),IPBES_GA2.3_sup_197,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,cover of key benthic groups,GBF_GA_CY_18,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,coverage by protected areas of important sites for mountain biodiversity,SDG_G15.4.1_198;GA_3_72_395,SDG;IPBES,1,ecosystems,Area conservation,NA,NA,IPBES;SDG
,coverage of essential health services,SDG_G3.8.1_44,SDG,1,Human well-being,Wellness,NA,NA,SDG
,coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,IPBES,0,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,IPBES
,coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,1,ecosystems,Area conservation,Governance,Nature-based legislation,CMS
x,coverage of protected areas and oecms,NA,NA,NA,ecosystems,Area conservation,NA,NA,GBF
,coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_138,GBF,1,ecosystems,Area conservation,NA,NA,GBF
,coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,1,ecosystems,Area conservation,,,
,coverage of protected areas in relation to marine areas,SDG_G14.5.1_188;GEO_14_14_147,SDG;GEO,1,ecosystems,Area conservation,NA,NA,IPBES;GEO;SDG
,coverage of the wetland resource by designated ramsar sites,NA,NA,NA,ecosystems,Area conservation,NA,NA,RAMSAR
,"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,1,Human well-being,Wellness,NA,NA,SDG
