indicator_harmonized,indic_ids,sources,policy
terrestrial vegetation biomass,GA_2.2_1_50,IPBES,0
the conservation status of species listed on the cites appendices has stabilized or improved,CITES_G1.5.1_5,CITES,1
the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T3_C_23,GBF,1
themes in a text representing nature´s values,VA_2_38_28,IPBES,0
thermokarst,IPCC_2_63_102,IPCC,0
thermosteric sea level,IPCC_1_70_30,IPCC,0
threshold level methods,IPCC_11_58_543,IPCC,0
threshold when flooding occurs about once every two weeks,IPCC_12_20_605,IPCC,0
threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,IPCC,0
thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,IPCC,0
thresholds related to antecedent wet periods,IPCC_12_17_598,IPCC,0
tide gauge,IPCC_9_85_462;IPCC_12_73_700,IPCC,0
timber production (m3),GA_2.3_42_143,IPBES,0
time needed to harvest resources,GA_2.2_5_55,IPBES,0
time series of normalized difference vegetation index (ndvi),IPCC_1_67_28,IPCC,0
toa energy budget,IPCC_7_82_356,IPCC,0
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1
total catch of cetaceans under international convention for the regulation of whaling,GBF_T5_CY_157,GBF,1
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_T8_C_40,GBF,1
total dissolved solids (tds),GA_3_74_399,IPBES,0
total gobal population living in water scarce areas,GEO_20_8_234,GEO,0
"total government revenue as a proportion of gross domestic product, by source",SDG_G17.1.1_236;IPBES_SUA_sup_17.1.1_138,SDG;IPBES,1
total greenhouse gas emissions per year,SDG_G13.2.2_179;GA_2_118_47;IPBES_SUA_sup_13.2.2_106,SDG;IPBES,1
total hectares of ramsar sites that have been designated,RAMSAR_SG2.6_22,RAMSAR,1
total imports,IAS_2_5_11,IPBES,0
total investments into capacity-building efforts,CITES_G3.7.3_33,CITES,1
total land footprint,GA_2_118_47,IPBES,0
total net official development assistance to medical research and basic health sectors,SDG_G3.b.2_51,SDG,1
total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_GC_CY_91;GBF_T13_CY_206,GBF,1
total number of introduced alien species,IAS_2_15_20,IPBES,0
"total number of permits, or their equivalent, granted for access to genetic resources",GBF_T13_CY_205,GBF,1
total number of transboundary ramsar sites,RAMSAR_OG4.18_69,RAMSAR,1
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_T13_CY_204,GBF,1
total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,SDG_G1.a.1_11;IPBES_SUA_sup_1.a.1_10,SDG;IPBES,1
total official flows (official development assistance plus other official flows) to the agriculture sector,SDG_G2.a.2_25;IPBES_SUA_sup_2.a.2_23,SDG;IPBES,1
total official international support (official development assistance plus other official flows) to infrastructure,SDG_G9.a.1_126;IPBES_SUA_sup_9.a.1_67,SDG;IPBES,1
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG_G11.4.1_147;IPBES_SUA_sup_11.4.1_80,SDG;IPBES,1
total population,GA_2_24_29,IPBES,0
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG_G10.b.1_141;IPBES_SUA_sup_10.b.1_78,SDG;IPBES,1
total richness of endemic species,GA_2.2_21_61,IPBES,0
total soil moisture,IPCC_11_60_550,IPCC,0
total value of inward and outward illicit financial flows (in current united states dollars),SDG_G16.4.1_222,SDG,1
total wood removals,GA_1_52_19,IPBES,0
totem or culturally important species,IAS_4_140_116,IPBES,0
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,SDG_G8.9.1_111;IPBES_SUA_sup_8.9.1_55,SDG;IPBES,1
toxocological potential of nanoparticals,GEO_4_15_36,GEO,0
trade in wild animals,SUA_4_184_143,IPBES,0
trade in wild mammals,SUA_4_184_143,IPBES,0
transfer of water to the atmosphere,GA_2.3_56_155,IPBES,0
transient climate response tcr,IPCC_7_9_323;IPCC_7_44_330,IPCC,0
tree biomass,IAS_3_84_95,IPBES,0
tree cover,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_77;GA_3_15_329;GA_3_55_389;GA_3_72_395;IPBES_GA2.2_sup_25;IPBES_GA3_sup_16,IPBES,0
tree cover loss,GBF_GA_CY_3,GBF,1
tree rings,IPCC_3_27_176;IPCC_8_33_374,IPCC,0
trend in carbon intensity,GA_1_52_19,IPBES,0
trends in abundance and distribution of selected species,UNCCD_SO4.2_9,UNCCD,1
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_T6_CY_168,GBF,1
trends in access to safe drinking water in affected areas,UNCCD_SO2.2_5,UNCCD,1
trends in adoption of multinational agreements to reduce invasive alien species threats,IAS_6_21_146,IPBES,0
trends in attention to migratory species in national biodiversity strategies and action plans,CMS_G5.13_22,CMS,1
trends in awareness and attitudes to migratory species,CMS_G1.1_2,CMS,1
trends in carbon stocks above and below ground,UNCCD_SO1.1_3;UNCCD_SO4.1_8,UNCCD,1
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS_G3.10_17,CMS,1
trends in delivery of ecosystem services directly dependent on migratory species,CMS_G4.11_20,CMS,1
trends in distribution of migratory species,CMS_G3.8_15,CMS,1
trends in domestic public resources,UNCCD_SO5.2_11,UNCCD,1
trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,GBF,1
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IAS_6_11_138;IAS_6_119_174,IPBES,0
trends in extinction risk of birds impacted by invasive species,IAS_6_21_146,IPBES,0
trends in fisheries certified by the msc,GA_1_52_19,IPBES,0
trends in forest extent,GA_1_52_19,IPBES,0
trends in integration of migratory species concerns in national biodiversity strategies and action plans,CMS_G5.13_23,CMS,1
trends in integration of migratory species values in national and sectoral policies,CMS_G1.2_3,CMS,1
trends in international bilateral and multilateral official development assistance,UNCCD_SO5.1_10,UNCCD,1
trends in invasive alien species eradication at different scales,IAS_6_21_146,IPBES,0
trends in invasive alien species relevant submissions to managers,IAS_6_21_146,IPBES,0
trends in invasive alien species vertebrate eradications,GA_1_52_19,IPBES,0
trends in land cover,UNCCD_SO1.1_1,UNCCD,1
trends in land productivity or functioning of the land,UNCCD_SO1.1_2,UNCCD,1
trends in loss of reactive nitrogen to the environment,GBF_T7_CY_170,GBF,1
trends in mangrove extent,GBF_GA_CY_10,GBF,1
trends in mangrove forest fragmentation,GBF_GA_CY_9,GBF,1
trends in nitrogen deposition,GBF_T7_CY_171;GA_1_52_19,GBF;IPBES,1
trends in number of co-financing partners,UNCCD_SO5.3_12,UNCCD,1
"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF_T22_CY_261,GBF,1
trends in numbers and spatial distribution of invasive alien species and their impacts,IAS_6_119_174,IPBES,0
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IAS_6_11_138;IAS_6_119_174,IPBES,0
trends in numbers of facilities in the region,IAS_6_21_146,IPBES,0
trends in numbers of invasive alien species and their impacts,IAS_6_11_138,IPBES,0
trends in official funding for actions which support implementation of the strategic plan for migratory species,CMS_G5.16_26,CMS,1
trends in pathways of introduction and spread,IAS_6_11_138;IAS_6_119_174,IPBES,0
trends in pesticide use,GA_1_52_19,IPBES,0
trends in population living below the relative poverty line and/or income inequality in affected areas,UNCCD_SO2.1_4,UNCCD,1
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF_T18_CY_234,GBF,1
trends in potentially harmful elements of government support to agriculture (produced support estimates),GA_1_52_19,IPBES,0
trends in potentially harmful elements of government support to fisheries,GA_1_52_19,IPBES,0
trends in publication of papers on migratory species conservation in peer-reviewed literature,CMS_G5.15_25,CMS,1
trends in range-related coverage of migratory species agreements and other concerted actions between states,CMS_G3.9_16,CMS,1
trends in species at risk of localized extinction in a protected area,IAS_6_56_150,IPBES,0
trends in successful control and eradications of invasive alien species,IAS_6_11_138,IPBES,0
trends in successful eradications of invasive alien species,IAS_6_119_174,IPBES,0
trends in the allocation of resources towards the prevention or control of invasive alien species,IAS_6_11_138;IAS_6_119_174,IPBES,0
trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_T7_CY_174,GBF,1
"trends in the degree to which traditional knowledge and practices are respected through full integration, participation and safeguards in national implementation of the strategic plan for migratory species",CMS_G5.14_24,CMS,1
trends in the legal trade of medicinal plants,GBF_GB_CY_79,GBF,1
trends in the number and value of government fossil-fuel support measures,GBF_T18_CY_235,GBF,1
trends in the numbers of invasive alien species introduction events,GA_1_52_19,IPBES,0
trends in the prevention and eradication and control of invasive alien species,IAS_6_119_174,IPBES,0
trends in the prevention of invasive alien species,IAS_6_11_138,IPBES,0
trends in threats to migratory species,CMS_G2.7_9;CMS_G2.7_10,CMS,1
trends of bilinguistic diversity and numbers of speakers of indigenous languages,GBF_GB_CY_84,GBF,1
trends of populations of palatable or unpalatable species,GA_2.2_63_107,IPBES,0
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),GBF_T5_CY_166,GBF,1
"trends, mechanisms and severity of invasive alien species impacts",IAS_6_11_138;IAS_6_119_174,IPBES,0
tropical forest-monocrop conversions,GA_2.2_6_56,IPBES,0
tropical precipitation,IPCC_8_83_420,IPCC,0
tropospheric no2 abundance,IPCC_6_23_302,IPCC,0
tropospheric temperature,GEO_2_26_7;GEO_2_26_7,GEO,0
"tuberculosis incidence per 100,000 population",SDG_G3.3.2_33,SDG,1
under-five child mortality rate,SDG_G3.2.1_30;GEO_20_6_228;GEO_21_17_252;GEO_21_18_253,SDG;GEO,1
underwater noise pollution,GBF_T7_CY_178,GBF,1
underweight children,GEO_3_12_24,GEO,0
undp human development dashboard,VA_2_8_10,IPBES,0
"unemployment rate, by sex, age and persons with disabilities",SDG_G8.5.2_106;IPBES_SUA_sup_8.5.2_50,SDG;IPBES,1
unesco culture 2030 (multiple indicators),GBF_GB_CY_87,GBF,1
united nations framework convention on climate change,GEO_20_8_233;IPBES_GA2.1_sup_61,IPBES;GEO,0
united nations system of environmental economic accounting,VA_2_39_33,IPBES,0
"united states dollar value of financial and technical assistance, including through north-south, south-south and triangular cooperation, committed to developing countries and countries with economies in transition",UNCCD_SO5.7_16,UNCCD,1
universal female education,GEO_22_21_257,GEO,0
unsentenced detainees as a proportion of overall prison population,SDG_G16.3.2_220,SDG,1
uplisting of species or populations from appendix ii to appendix i,SUA_4_66_123,IPBES,0
upper tropospheric humidity,IPCC_2_51_79,IPCC,0
urban growth,GEO_6_8_49,GEO,0
urban population,IPBES_GA2.1_sup_23,IPBES,0
us national ambient air quality standards,GEO_12_12_111,GEO,0
use of natural resource,VA_3_2_52,IPBES,0
value of merchandise being exported,GA_2_22_28,IPBES,0
value of subsidies and other incentives harmful to biodiversity,GBF_T18_H_44;GBF_T18_C_63,GBF,1
variability in migration patterns,SUA_2_97_80,IPBES,0
vegetation biomass,GA_2.2_37_70;IPBES_GA2.2_sup_26,IPBES,0
"visitation rates to natural terrestrial, coastal, and marine areas",GA_2.3_42_143,IPBES,0
visitation to national parks,GA_2.3_32_132,IPBES,0
visitation to natural areas,GA_2.3_50_149,IPBES,0
visitation to urban green spaces,GA_2.3_32_132,IPBES,0
visitor management assessment,GBF_GB_CY_80,GBF,1
volatile organic compounds emissions,GEO_20_6_228,GEO,0
volcanic activity,IPCC_3_17_173,IPCC,0
volcanic eruptions,IPCC_8_90_424,IPCC,0
volume of official development assistance flows for scholarships by sector and type of study,GBF_GD_CY_102;SDG_G4.b.1_66,GBF;SDG,1
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,GBF_T9_CY_192;SDG_G2.3.1_19;IPBES_SUA_sup_2.3.1_17,GBF;SDG;IPBES,1
volume of remittances (in united states dollars) as a proportion of total gross domestic product,SDG_G17.3.2_240;IPBES_SUA_sup_17.3.2_142,SDG;IPBES,1
warm spell duration index (wsdi),IPCC_11_40_526;IPCC_sup_11,IPCC,0
wastewater treatment,GEO_23_24_263,GEO,0
water availability,GA_2.3_42_143,IPBES,0
water available for people relative to demand,GA_2.3_42_143,IPBES,0
water flow volume,IPCC_12_17_600,IPCC,0
water footprint,GA_1_52_19;GA_3_26_355,IPBES,0
water infrastructure,GEO_9_18_80,GEO,0
water intermittency thresholds,IPCC_12_17_600,IPCC,0
water quality,GA_3_123_420,IPBES,0
water quality index (watqi),GA_2_110_45,IPBES,0
water quality risk index,GA_6_93_281,IPBES,0
water table depth,IPCC_12_17_599,IPCC,0
water vapour residence time,IPCC_8_53_397,IPCC,0
water withdrawal,IPBES_GA2.1_sup_56,IPBES,0
water- saving devices,GEO_17_8_200,GEO,0
water-balance estimates,IPCC_11_60_550,IPCC,0
weather patterns,SUA_2_95_77,IPBES,0
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",SDG_G17.12.1_249;IPBES_SUA_sup_17.12.1_149,SDG;IPBES,1
weighted endemisms,GA_2.2_21_61,IPBES,0
wet bulb globe temperature (wbgt) index,IPCC_12_49_649;IPCC_12_54_663;IPCC_12_71_692,IPCC,0
wet bulb temperature,IPCC_12_88_731,IPCC,0
wetland area index,GEO_9_16_77,GEO,0
wetland extent trends index,GBF_GA_CY_20;GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_3_15_329;IPBES_GA2.2_sup_27;IPBES_GA3_sup_15,GBF;IPBES,1
whaling records,IPCC_2_58_90,IPCC,0
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",SDG_G5.1.1_68,SDG,1
wild bird index,GBF_GA_CY_37;GA_2.2_37_70,GBF;IPBES,1
wild bird index (farmland birds),GA_3_15_329;GA_3_31_358;IPBES_GA3_sup_26,IPBES,0
wild bird index (habitat specialists),GA_3_15_329;GA_3_51_381;IPBES_GA2.2_sup_76;IPBES_GA3_sup_18,IPBES,0
wild bird index (migratory birds),CMS_G3.8_14,CMS,1
wild mammal biomass,GA_2.2_37_70;IPBES_GA2.2_sup_77,IPBES,0
wildfires,IPCC_3_64_190,IPCC,0
wildlife picture index,GA_1_52_19,IPBES,0
willingness to allocate time for nature´s contributions to people conservation,VA_2_37_25;VA_2_63_45,IPBES,0
willingness to give up access to land or other resources to protect nature,VA_3_76_86,IPBES,0
willingness to pay to protect nature or improve ecosystem services,VA_2_18_19;VA_2_63_45;VA_3_76_86,IPBES,0
willingness-to-participate,GEO_14_7_145,GEO,0
women and girl’s education,GEO_22_21_257,GEO,0
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),GBF_T21_CY_253,GBF,1
world happiness index,GA_2_25_34,IPBES,0
world trade organisation greenbox agricultural subsidies,GA_3_15_329;IPCC_2_86_146;IPCC_3_22_174;IPCC_3_84_211;IPCC_4_26_231;IPCC_7_67_343;IPCC_8_71_406;IPCC_8_88_422;IPCC_9_27_430;GEO_2_26_7;GEO_2_26_7;IPBES_GA3_sup_7,IPBES;IPCC;GEO,0
worldwide weighted tariff-average,SDG_G17.10.1_247;IPBES_SUA_sup_17.10.1_147,SDG;IPBES,1
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",GEO_5_19_45,GEO,0
yield (improvement),GEO_23_24_262,GEO,0
zonally averaged mean annual temperature reconstructions,IPCC_2_31_64,IPCC,0
zoonotic disease,GBF_GB_CY_63;GEO_3_5_16,GBF;GEO,1
