indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
level of erosion,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,Direct drivers,State of ecosystems,Natural drivers
biofuel production,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,Ecosystem services,NA,Nature contribution,NA
fish catch potential,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
population involved in hunting and gathering,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
forestry production and trade (wood fuel),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
trends in the legal trade of medicinal plants,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Ecosystem services,Income,Nature contribution
visitor management assessment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Knowledge systems,Cultural diversity,Information on society and socio-economics
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Knowledge systems,Cultural diversity,ILK
linguistic diversity index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human well-being,NA,Cultural diversity,NA
trends of bilinguistic diversity and numbers of speakers of indigenous languages,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Knowledge systems,Cultural diversity,ILK
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Governance,Human well-being,Legislation/governance,Cultural diversity
cultural vitality index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human well-being,NA,Cultural diversity,NA
unesco culture 2030 (multiple indicators),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
processes and tools to monitor the implementation of a right to a healthy environment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Healthy living conditions,Legislation/governance
red list index (internationally traded species),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
number of checkpoint communiques published in the abs clearing-house,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of internationally recognized certificates of compliance for non-commercial purposes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
finance mobilized for capacity-building,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of scientists per population,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
nationally maintained research vessels,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of total research budget allocated to research in the field of marine technology,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
volume of official development assistance flows for scholarships by sector and type of study,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Information on society and socio-economics,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
number of countries using natural capital accounts in planning processes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
percentage of spatial plans utilizing information on key biodiversity areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (marine),NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
number of countries using ocean accounts in planning processes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
proportion of transboundary basin area with an operational arrangement for water cooperation,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
percent of total land area that is under cultivation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Specific information on ILK and IPLC,NA
habitat distributional range,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,biodiversity,State of ecosystems,Species conservation
increase in secondary natural forest cover,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,NA
annual tropical primary tree cover loss,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,NA
global ecosystem restoration index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Area conservation,NA
percentage of cropped landscapes with at least 10 % natural land,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
status of key biodiversity areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
"protected area downgrading, downsizing and degazettement (pd)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,NA
iucn green list of protected and conserved areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
protected area and oecm management effectiveness (mepca) indicator,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,Governance,Area conservation,Nature-based legislation
protected area isolation index (pai),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
protected areas network metric (pronet),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,biodiversity,State of ecosystems,State of biodiversity
coverage of protected areas and oecms and traditional territories (by governance type),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
ramsar management effectiveness tracking tool (r-mett),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,Species conservation
percentage of biosphere reserves that have a positive conservation outcome and effective management,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,ecosystems,Nature-based legislation,Area conservation
extent of indigenous peoples and local communities lands that have some form of recognition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Human well-being,ILK,Equity
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
species threat abatement and restoration metric,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Species conservation,NA
changing status of evolutionary distinct and globally endangered species (edge index),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,Change in biodiversity
number of cms daughter agreements,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
sustainable watershed and inland fisheries index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
red list index (internationally traded species and migratory species),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
marine stewardship council certified catch,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
total catch of cetaceans under international convention for the regulation of whaling,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
by catch of vulnerable and non-target species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Governance,Nature-based legislation,National/international cooperation
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,Direct drivers,Specific monetary valuation of nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
illegal trade by cites species classification,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
number of countries incorporating trade in their national biodiversity policy,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
number of msc chain of custody certification holders by distribution country,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
number of invasive alien species in national lists as per the global register of introduced and invasive species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Invasive alien species,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
red list index (impacts of invasive alien species),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
trends in loss of reactive nitrogen to the environment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
trends in nitrogen deposition,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Pollution,NA
municipal solid waste collected and managed,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
hazardous waste generation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
trends in the amount of litter in the water column including microplastics and on the seafloor,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
plastic debris density,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
underwater noise pollution,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
pesticide use per area of cropland,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
above-ground biomass stock in forest,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Climate change,NA
spawning stock biomass (related to commercially exploited species),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
agrobiodiversity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
soil organic carbon (soc) stocks,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution
proportion of land that is degraded over total land area,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,Direct drivers,NA,Land conversion,NA
air emission accounts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Climate change,NA
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
proportion of population using safely managed drinking water services,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Coverage of basic needs,Information on society and socio-economics
mortality rate attributed to household and ambient air pollution,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Direct drivers,Healthy living conditions,Pollution
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,biodiversity,Information on biodiversity,Genetic resources
"total number of permits, or their equivalent, granted for access to genetic resources",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,biodiversity,Nature-based legislation,Genetic resources
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human well-being,NA,Equity,NA
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,biodiversity,Nature-based funding,Species conservation
human appropriation of net primary productivity,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion
co2 emission per unit of value added,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Climate change,NA
change in water-use efficiency over time,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
number of companies publishing sustainability reports,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
recycling rate,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
life cycle impact assessment (lcia),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
